Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:27        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:54          6     17.00      0.00      0.00      0.00      0.00     83.00
11:00:54          7     17.65      0.00      0.00      0.00      0.00     82.35

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     16.00      0.00      0.75      0.00      0.00     83.25
Average:          0     18.27      0.00      0.96      0.00      0.00     80.77
Average:          1     11.46      0.00      0.00      0.00      0.00     88.54
Average:          2     19.59      0.00      2.06      0.00      0.00     78.35
Average:          3      5.05      0.00      0.00      0.00      0.00     94.95
Average:          4     19.42      0.00      1.94      0.00      0.00     78.64
Average:          5     19.19      0.00      1.01      0.00      0.00     79.80
Average:          6     17.00      0.00      0.00      0.00      0.00     83.00
Average:          7     17.65      0.00      0.00      0.00      0.00     82.35
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:55        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:56        all     14.21      0.00      1.13      0.13      0.00     84.53
11:00:56          0     12.37      0.00      1.03      0.00      0.00     86.60
11:00:56          1      0.00      0.00      1.00      0.00      0.00     99.00
11:00:56          2     13.13      0.00      1.01      0.00      0.00     85.86
11:00:56          3     17.17      0.00      0.00      0.00      0.00     82.83
11:00:56          4     16.16      0.00      1.01      0.00      0.00     82.83
11:00:56          5     27.55      0.00      2.04      0.00      0.00     70.41
11:00:56          6     12.75      0.00      1.96      0.98      0.00     84.31
11:00:56          7     14.85      0.00      0.99      0.00      0.00     84.16

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     14.21      0.00      1.13      0.13      0.00     84.53
Average:          0     12.37      0.00      1.03      0.00      0.00     86.60
Average:          1      0.00      0.00      1.00      0.00      0.00     99.00
Average:          2     13.13      0.00      1.01      0.00      0.00     85.86
Average:          3     17.17      0.00      0.00      0.00      0.00     82.83
Average:          4     16.16      0.00      1.01      0.00      0.00     82.83
Average:          5     27.55      0.00      2.04      0.00      0.00     70.41
Average:          6     12.75      0.00      1.96      0.98      0.00     84.31
Average:          7     14.85      0.00      0.99      0.00      0.00     84.16
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:57        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:00:58        all     16.03      0.00      1.02      0.00      0.00     82.95
11:00:58          0     22.92      0.00      2.08      0.00      0.00     75.00
11:00:58          1      2.00      0.00      1.00      0.00      0.00     97.00
11:00:58          2      6.12      0.00      0.00      0.00      0.00     93.88
11:00:58          3     17.89      0.00      1.05      0.00      0.00     81.05
11:00:58          4     22.86      0.00      2.86      0.00      0.00     74.29
11:00:58          5     22.58      0.00      1.08      0.00      0.00     76.34
11:00:58          6     10.10      0.00      0.00      0.00      0.00     89.90
11:00:58          7     24.00      0.00      0.00      0.00      0.00     76.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     16.03      0.00      1.02      0.00      0.00     82.95
Average:          0     22.92      0.00      2.08      0.00      0.00     75.00
Average:          1      2.00      0.00      1.00      0.00      0.00     97.00
Average:          2      6.12      0.00      0.00      0.00      0.00     93.88
Average:          3     17.89      0.00      1.05      0.00      0.00     81.05
Average:          4     22.86      0.00      2.86      0.00      0.00     74.29
Average:          5     22.58      0.00      1.08      0.00      0.00     76.34
Average:          6     10.10      0.00      0.00      0.00      0.00     89.90
Average:          7     24.00      0.00      0.00      0.00      0.00     76.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:00:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:01:00        all     14.38      0.00      1.01      0.00      0.00     84.62
11:01:00          0     13.00      0.00      1.00      0.00      0.00     86.00
11:01:00          1     17.17      0.00      2.02      0.00      0.00     80.81
11:01:00          2     16.67      0.00      0.00      0.00      0.00     83.33
11:01:00          3     23.00      0.00      1.00      0.00      0.00     76.00
11:01:00          4     20.41      0.00      2.04      0.00      0.00     77.55
11:01:00          5     18.18      0.00      0.00      0.00      0.00     81.82
11:01:00          6      0.00      0.00      1.00      0.00      0.00     99.00
11:01:00          7      6.93      0.00      0.99      0.00      0.00     92.08

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     14.38      0.00      1.01      0.00      0.00     84.62
Average:          0     13.00      0.00      1.00      0.00      0.00     86.00
Average:          1     17.17      0.00      2.02      0.00      0.00     80.81
Average:          2     16.67      0.00      0.00      0.00      0.00     83.33
Average:          3     23.00      0.00      1.00      0.00      0.00     76.00
Average:          4     20.41      0.00      2.04      0.00      0.00     77.55
Average:          5     18.18      0.00      0.00      0.00      0.00     81.82
Average:          6      0.00      0.00      1.00      0.00      0.00     99.00
Average:          7      6.93      0.00      0.99      0.00      0.00     92.08
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:01:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:01:02        all     15.56      0.00      1.38      0.00      0.00     83.06
11:01:02          0      6.06      0.00      1.01      0.00      0.00     92.93
11:01:02          1      9.80      0.00      0.98      0.00      0.00     89.22
11:01:02          2     20.83      0.00      2.08      0.00      0.00     77.08
11:01:02          3     22.68      0.00      1.03      0.00      0.00     76.29
11:01:02          4     25.00      0.00      2.00      0.00      0.00     73.00
11:01:02          5     17.17      0.00      1.01      0.00      0.00     81.82
11:01:02          6      6.86      0.00      1.96      0.00      0.00     91.18
11:01:02          7     16.67      0.00      0.98      0.00      0.00     82.35

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     15.56      0.00      1.38      0.00      0.00     83.06
Average:          0      6.06      0.00      1.01      0.00      0.00     92.93
Average:          1      9.80      0.00      0.98      0.00      0.00     89.22
Average:          2     20.83      0.00      2.08      0.00      0.00     77.08
Average:          3     22.68      0.00      1.03      0.00      0.00     76.29
Average:          4     25.00      0.00      2.00      0.00      0.00     73.00
Average:          5     17.17      0.00      1.01      0.00      0.00     81.82
Average:          6      6.86      0.00      1.96      0.00      0.00     91.18
Average:          7     16.67      0.00      0.98      0.00      0.00     82.35
Linux 5.15.0-73-generic (bianca-MS-7C00) 	08/06/23 	_x86_64_	(8 CPU)

11:01:03        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:01:04        all     14.12      0.00      1.13      0.00      0.00     84.74
11:01:04          0     10.00      0.00      2.00      0.00      0.00     88.00
11:01:04          1     33.33      0.00      0.00      0.00      0.00     66.67
11:01:04          2     12.75      0.00      1.96      0.00      0.00     85.29
11:01:04          3      4.08      0.00      1.02      0.00      0.00     94.90
11:01:04          4      5.10      0.00      1.02      0.00      0.00     93.88
11:01:04          5     14.85      0.00      0.00      0.00      0.00     85.15
11:01:04          6     12.12      0.00      2.02      0.00      0.00     85.86
11:01:04          7     20.83      0.00      1.04      0.00      0.00     78.12

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     14.12      0.00      1.13      0.00      0.00     84.74
Average:          0     10.00      0.00      2.00      0.00      0.00     88.00
Average:          1     33.33      0.00      0.00      0.00      0.00     66.67
Average:          2     12.75      0.00      1.96      0.00      0.00     85.29
Average:          3      4.08      0.00      1.02      0.00      0.00     94.90
Average:          4      5.10      0.00      1.02      0.00      0.00     93.88
Average:          5     14.85      0.00      0.00      0.00      0.00     85.15
Average:          6     12.12      0.00      2.02      0.00      0.00     85.86
Average:          7     20.83      0.00      1.04      0.00      0.00     78.12
