Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:20        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.25      0.00      0.13      0.00      0.00     99.62
Average:          0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      1.00      0.00      0.00      0.00      0.00     99.00
Average:          3      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.99      0.00      0.00      0.00      0.00     99.01
Average:          5      0.00      0.00      0.00      0.00      0.00    100.00
Average:          6      0.00      0.00      1.00      0.00      0.00     99.00
Average:          7      0.00      0.00      0.00      0.00      0.00    100.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:40        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:41        all      0.00      0.00      0.00      0.00      0.00    100.00
19:49:41          0      0.00      0.00      0.00      0.00      0.00    100.00
19:49:41          1      0.00      0.00      0.00      0.00      0.00    100.00
19:49:41          2      0.00      0.00      0.00      0.00      0.00    100.00
19:49:41          3      0.00      0.00      0.00      0.00      0.00    100.00
19:49:41          4      0.00      0.00      0.00      0.00      0.00    100.00
19:49:41          5      0.00      0.00      0.00      0.00      0.00    100.00
19:49:41          6      0.00      0.00      0.00      0.00      0.00    100.00
19:49:41          7      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.00      0.00      0.00      0.00      0.00    100.00
Average:          0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00    100.00
Average:          5      0.00      0.00      0.00      0.00      0.00    100.00
Average:          6      0.00      0.00      0.00      0.00      0.00    100.00
Average:          7      0.00      0.00      0.00      0.00      0.00    100.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:42        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:43        all      0.12      0.00      0.25      0.00      0.00     99.62
19:49:43          0      0.00      0.00      1.00      0.00      0.00     99.00
19:49:43          1      0.00      0.00      0.99      0.00      0.00     99.01
19:49:43          2      0.99      0.00      0.00      0.00      0.00     99.01
19:49:43          3      0.00      0.00      0.00      0.00      0.00    100.00
19:49:43          4      0.00      0.00      0.00      0.00      0.00    100.00
19:49:43          5      0.00      0.00      0.00      0.00      0.00    100.00
19:49:43          6      0.00      0.00      0.00      0.00      0.00    100.00
19:49:43          7      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.12      0.00      0.25      0.00      0.00     99.62
Average:          0      0.00      0.00      1.00      0.00      0.00     99.00
Average:          1      0.00      0.00      0.99      0.00      0.00     99.01
Average:          2      0.99      0.00      0.00      0.00      0.00     99.01
Average:          3      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00    100.00
Average:          5      0.00      0.00      0.00      0.00      0.00    100.00
Average:          6      0.00      0.00      0.00      0.00      0.00    100.00
Average:          7      0.00      0.00      0.00      0.00      0.00    100.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:44        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:45        all      0.25      0.00      0.25      0.13      0.00     99.37
19:49:45          0      1.01      0.00      0.00      0.00      0.00     98.99
19:49:45          1      0.00      0.00      0.00      0.00      0.00    100.00
19:49:45          2      0.00      0.00      0.00      0.00      0.00    100.00
19:49:45          3      0.00      0.00      1.00      0.00      0.00     99.00
19:49:45          4      0.00      0.00      1.00      0.00      0.00     99.00
19:49:45          5      0.00      0.00      0.00      1.01      0.00     98.99
19:49:45          6      1.00      0.00      0.00      0.00      0.00     99.00
19:49:45          7      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.25      0.00      0.25      0.13      0.00     99.37
Average:          0      1.01      0.00      0.00      0.00      0.00     98.99
Average:          1      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      1.00      0.00      0.00     99.00
Average:          4      0.00      0.00      1.00      0.00      0.00     99.00
Average:          5      0.00      0.00      0.00      1.01      0.00     98.99
Average:          6      1.00      0.00      0.00      0.00      0.00     99.00
Average:          7      0.00      0.00      0.00      0.00      0.00    100.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:46        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:47        all      0.62      0.00      0.75      0.00      0.00     98.63
19:49:47          0      1.00      0.00      0.00      0.00      0.00     99.00
19:49:47          1      0.00      0.00      1.01      0.00      0.00     98.99
19:49:47          2      1.98      0.00      0.99      0.00      0.00     97.03
19:49:47          3      1.01      0.00      0.00      0.00      0.00     98.99
19:49:47          4      0.00      0.00      1.00      0.00      0.00     99.00
19:49:47          5      0.00      0.00      0.00      0.00      0.00    100.00
19:49:47          6      0.00      0.00      0.99      0.00      0.00     99.01
19:49:47          7      0.99      0.00      1.98      0.00      0.00     97.03

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.62      0.00      0.75      0.00      0.00     98.63
Average:          0      1.00      0.00      0.00      0.00      0.00     99.00
Average:          1      0.00      0.00      1.01      0.00      0.00     98.99
Average:          2      1.98      0.00      0.99      0.00      0.00     97.03
Average:          3      1.01      0.00      0.00      0.00      0.00     98.99
Average:          4      0.00      0.00      1.00      0.00      0.00     99.00
Average:          5      0.00      0.00      0.00      0.00      0.00    100.00
Average:          6      0.00      0.00      0.99      0.00      0.00     99.01
Average:          7      0.99      0.00      1.98      0.00      0.00     97.03
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:48        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:49        all      0.38      0.00      0.13      0.00      0.00     99.50
19:49:49          0      0.99      0.00      0.99      0.00      0.00     98.02
19:49:49          1      0.00      0.00      0.00      0.00      0.00    100.00
19:49:49          2      0.00      0.00      0.00      0.00      0.00    100.00
19:49:49          3      0.00      0.00      0.00      0.00      0.00    100.00
19:49:49          4      1.00      0.00      0.00      0.00      0.00     99.00
19:49:49          5      1.00      0.00      0.00      0.00      0.00     99.00
19:49:49          6      0.00      0.00      0.00      0.00      0.00    100.00
19:49:49          7      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.38      0.00      0.13      0.00      0.00     99.50
Average:          0      0.99      0.00      0.99      0.00      0.00     98.02
Average:          1      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      1.00      0.00      0.00      0.00      0.00     99.00
Average:          5      1.00      0.00      0.00      0.00      0.00     99.00
Average:          6      0.00      0.00      0.00      0.00      0.00    100.00
Average:          7      0.00      0.00      0.00      0.00      0.00    100.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:50        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:51        all      0.37      0.00      0.37      0.00      0.00     99.25
19:49:51          0      0.00      0.00      0.00      0.00      0.00    100.00
19:49:51          1      0.00      0.00      1.98      0.00      0.00     98.02
19:49:51          2      0.00      0.00      0.00      0.00      0.00    100.00
19:49:51          3      1.98      0.00      0.00      0.00      0.00     98.02
19:49:51          4      1.00      0.00      1.00      0.00      0.00     98.00
19:49:51          5      0.00      0.00      0.00      0.00      0.00    100.00
19:49:51          6      0.00      0.00      0.00      0.00      0.00    100.00
19:49:51          7      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.37      0.00      0.37      0.00      0.00     99.25
Average:          0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      1.98      0.00      0.00     98.02
Average:          2      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      1.98      0.00      0.00      0.00      0.00     98.02
Average:          4      1.00      0.00      1.00      0.00      0.00     98.00
Average:          5      0.00      0.00      0.00      0.00      0.00    100.00
Average:          6      0.00      0.00      0.00      0.00      0.00    100.00
Average:          7      0.00      0.00      0.00      0.00      0.00    100.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:52        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:53        all      0.62      0.00      0.25      0.00      0.00     99.13
19:49:53          0      1.00      0.00      1.00      0.00      0.00     98.00
19:49:53          1      0.00      0.00      0.00      0.00      0.00    100.00
19:49:53          2      0.00      0.00      0.99      0.00      0.00     99.01
19:49:53          3      1.00      0.00      0.00      0.00      0.00     99.00
19:49:53          4      1.98      0.00      0.00      0.00      0.00     98.02
19:49:53          5      0.00      0.00      0.00      0.00      0.00    100.00
19:49:53          6      1.00      0.00      0.00      0.00      0.00     99.00
19:49:53          7      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
